Points,Cost,Position
89,6.2,GK
82,6,GK
69,5.4,GK
119,5.4,GK
103,5.3,GK
51,5.3,GK
122,5.3,GK
84,5.2,GK
116,5.2,GK
118,5.1,GK
108,5,GK
116,5,GK
128,4.9,GK
111,4.9,GK
59,4.9,GK
7,4.8,GK
102,4.7,GK
11,4.7,GK
0,4.7,GK
0,4.6,GK
91,4.6,GK
0,4.5,GK
68,4.5,GK
96,4.5,GK
19,4.5,GK
1,4.4,GK
18,4.4,GK
0,4.4,GK
0,4.4,GK
3,4.3,GK
59,4.3,GK
0,4.3,GK
0,4.3,GK
1,4.3,GK
1,4.3,GK
0,4.3,GK
0,4.3,GK
0,4.2,GK
0,4.2,GK
1,4.2,GK
0,4.2,GK
6,4.2,GK
0,4.2,GK
0,4.2,GK
0,4.2,GK
29,4.2,GK
58,4.2,GK
0,4.2,GK
0,4.2,GK
0,4.2,GK
0,4.2,GK
0,4.2,GK
0,4.2,GK
0,4.2,GK
11,4.1,GK
27,4,GK
0,4,GK
0,4,GK
0,4,GK
0,4,GK
0,4,GK
0,4,GK
0,4,GK
0,4,GK
3,4,GK
0,4,GK
0,3.9,GK
0,3.9,GK
0,3.9,GK
0,3.9,GK
20,3.9,GK
166,7.8,DEF
137,7,DEF
141,6.5,DEF
123,6.3,DEF
22,6.3,DEF
117,6.3,DEF
77,6.2,DEF
43,6,DEF
88,5.9,DEF
79,5.7,DEF
83,5.7,DEF
87,5.6,DEF
73,5.6,DEF
25,5.5,DEF
94,5.5,DEF
49,5.5,DEF
0,5.5,DEF
18,5.4,DEF
24,5.4,DEF
46,5.4,DEF
74,5.4,DEF
85,5.3,DEF
73,5.3,DEF
34,5.3,DEF
89,5.3,DEF
108,5.3,DEF
76,5.3,DEF
17,5.3,DEF
24,5.3,DEF
24,5.3,DEF
79,5.3,DEF
30,5.3,DEF
10,5.3,DEF
66,5.3,DEF
31,5.3,DEF
39,5.3,DEF
5,5.3,DEF
35,5.2,DEF
101,5.2,DEF
55,5.2,DEF
33,5.2,DEF
31,5.2,DEF
0,5.2,DEF
110,5.2,DEF
52,5.2,DEF
26,5.1,DEF
115,5.1,DEF
83,5.1,DEF
45,5.1,DEF
25,5.1,DEF
10,5,DEF
0,5,DEF
46,5,DEF
87,5,DEF
48,5,DEF
7,5,DEF
0,5,DEF
53,5,DEF
64,5,DEF
11,4.9,DEF
103,4.9,DEF
66,4.9,DEF
7,4.9,DEF
4,4.9,DEF
0,4.9,DEF
128,4.9,DEF
85,4.9,DEF
57,4.8,DEF
36,4.8,DEF
67,4.8,DEF
22,4.8,DEF
3,4.8,DEF
49,4.8,DEF
3,4.8,DEF
21,4.8,DEF
60,4.8,DEF
37,4.8,DEF
43,4.8,DEF
7,4.8,DEF
90,4.7,DEF
2,4.7,DEF
96,4.7,DEF
13,4.7,DEF
42,4.7,DEF
85,4.6,DEF
94,4.6,DEF
11,4.6,DEF
16,4.6,DEF
73,4.6,DEF
90,4.6,DEF
11,4.6,DEF
1,4.6,DEF
36,4.5,DEF
0,4.5,DEF
39,4.5,DEF
63,4.5,DEF
65,4.5,DEF
57,4.5,DEF
69,4.5,DEF
11,4.5,DEF
0,4.5,DEF
2,4.4,DEF
15,4.4,DEF
16,4.4,DEF
0,4.4,DEF
23,4.4,DEF
24,4.4,DEF
32,4.4,DEF
35,4.4,DEF
41,4.4,DEF
62,4.4,DEF
64,4.4,DEF
60,4.4,DEF
6,4.4,DEF
57,4.4,DEF
56,4.4,DEF
48,4.4,DEF
7,4.4,DEF
59,4.4,DEF
0,4.3,DEF
60,4.3,DEF
18,4.3,DEF
0,4.3,DEF
0,4.3,DEF
26,4.3,DEF
39,4.3,DEF
48,4.3,DEF
55,4.3,DEF
1,4.3,DEF
62,4.3,DEF
37,4.3,DEF
44,4.3,DEF
42,4.3,DEF
64,4.3,DEF
49,4.3,DEF
0,4.3,DEF
58,4.3,DEF
60,4.3,DEF
48,4.3,DEF
76,4.3,DEF
54,4.3,DEF
36,4.3,DEF
30,4.3,DEF
30,4.3,DEF
32,4.3,DEF
42,4.3,DEF
42,4.3,DEF
55,4.3,DEF
64,4.3,DEF
21,4.3,DEF
0,4.2,DEF
17,4.2,DEF
3,4.2,DEF
3,4.2,DEF
61,4.2,DEF
41,4.2,DEF
0,4.2,DEF
24,4.2,DEF
0,4.2,DEF
24,4.2,DEF
36,4.2,DEF
23,4.2,DEF
42,4.2,DEF
0,4.2,DEF
0,4.2,DEF
48,4.2,DEF
9,4.2,DEF
39,4.2,DEF
20,4.1,DEF
64,4.1,DEF
9,4.1,DEF
23,4.1,DEF
10,4.1,DEF
25,4.1,DEF
10,4.1,DEF
4,4.1,DEF
17,4.1,DEF
36,4,DEF
0,4,DEF
0,4,DEF
7,4,DEF
0,4,DEF
0,4,DEF
0,4,DEF
1,4,DEF
0,4,DEF
6,4,DEF
0,4,DEF
0,4,DEF
0,4,DEF
0,4,DEF
0,4,DEF
4,3.9,DEF
0,3.9,DEF
0,3.9,DEF
0,3.9,DEF
0,3.9,DEF
1,3.9,DEF
0,3.9,DEF
5,3.9,DEF
0,3.9,DEF
1,3.9,DEF
0,3.9,DEF
0,3.9,DEF
0,3.9,DEF
0,3.9,DEF
0,3.9,DEF
0,3.9,DEF
0,3.9,DEF
0,3.9,DEF
186,12.7,MID
175,12.5,MID
118,11.7,MID
178,10.6,MID
122,9.7,MID
0,9.3,MID
88,9.3,MID
48,8.6,MID
38,8.6,MID
121,8.5,MID
133,8.3,MID
17,8.3,MID
114,8.3,MID
122,8,MID
86,7.7,MID
119,7.5,MID
22,7.4,MID
53,7.3,MID
69,7.3,MID
90,7.3,MID
25,7.3,MID
76,7.1,MID
113,7,MID
45,6.9,MID
70,6.9,MID
73,6.8,MID
30,6.8,MID
0,6.8,MID
4,6.7,MID
95,6.7,MID
62,6.7,MID
61,6.6,MID
13,6.5,MID
118,6.4,MID
60,6.4,MID
78,6.4,MID
0,6.3,MID
14,6.3,MID
25,6.3,MID
69,6.2,MID
0,6.2,MID
49,6.2,MID
112,6.2,MID
56,6.2,MID
110,6.2,MID
20,6.2,MID
69,6.2,MID
111,6.2,MID
99,6.1,MID
36,6.1,MID
45,6.1,MID
95,6.1,MID
80,6,MID
71,6,MID
3,6,MID
8,5.9,MID
20,5.9,MID
15,5.8,MID
26,5.8,MID
25,5.8,MID
89,5.8,MID
79,5.8,MID
75,5.8,MID
44,5.8,MID
18,5.8,MID
84,5.8,MID
52,5.7,MID
37,5.7,MID
27,5.7,MID
93,5.7,MID
50,5.7,MID
108,5.7,MID
38,5.6,MID
34,5.6,MID
93,5.6,MID
51,5.6,MID
79,5.5,MID
29,5.5,MID
0,5.5,MID
91,5.5,MID
73,5.5,MID
33,5.5,MID
1,5.5,MID
61,5.4,MID
0,5.4,MID
67,5.4,MID
40,5.4,MID
45,5.4,MID
85,5.4,MID
94,5.4,MID
55,5.4,MID
9,5.4,MID
3,5.4,MID
0,5.3,MID
42,5.3,MID
99,5.3,MID
45,5.3,MID
46,5.3,MID
36,5.3,MID
33,5.3,MID
50,5.3,MID
58,5.3,MID
19,5.3,MID
48,5.3,MID
45,5.2,MID
18,5.2,MID
75,5.2,MID
52,5.2,MID
0,5.2,MID
0,5.2,MID
58,5.2,MID
35,5.2,MID
49,5.2,MID
87,5.2,MID
71,5.2,MID
16,5.2,MID
40,5.2,MID
0,5.2,MID
58,5.2,MID
35,5.2,MID
47,5.1,MID
0,5.1,MID
27,5.1,MID
19,5.1,MID
44,5.1,MID
4,5.1,MID
19,5,MID
32,5,MID
49,5,MID
0,5,MID
0,5,MID
24,5,MID
67,5,MID
37,5,MID
26,5,MID
94,5,MID
84,5,MID
3,5,MID
11,5,MID
60,5,MID
1,5,MID
42,5,MID
39,4.9,MID
62,4.9,MID
81,4.9,MID
72,4.9,MID
64,4.9,MID
69,4.9,MID
77,4.9,MID
0,4.9,MID
33,4.9,MID
5,4.9,MID
6,4.9,MID
0,4.8,MID
64,4.8,MID
48,4.8,MID
58,4.8,MID
33,4.8,MID
62,4.8,MID
66,4.8,MID
49,4.8,MID
25,4.8,MID
25,4.8,MID
62,4.8,MID
0,4.8,MID
4,4.8,MID
0,4.8,MID
64,4.8,MID
1,4.8,MID
8,4.8,MID
44,4.7,MID
6,4.7,MID
2,4.7,MID
4,4.7,MID
100,4.7,MID
1,4.7,MID
0,4.7,MID
66,4.7,MID
8,4.7,MID
7,4.7,MID
0,4.7,MID
23,4.7,MID
43,4.7,MID
19,4.7,MID
5,4.7,MID
4,4.7,MID
30,4.6,MID
2,4.6,MID
0,4.6,MID
6,4.6,MID
15,4.6,MID
0,4.5,MID
0,4.5,MID
55,4.5,MID
0,4.5,MID
1,4.5,MID
18,4.5,MID
1,4.5,MID
5,4.5,MID
33,4.5,MID
15,4.5,MID
25,4.5,MID
1,4.5,MID
0,4.5,MID
0,4.5,MID
0,4.5,MID
0,4.5,MID
0,4.5,MID
0,4.5,MID
0,4.5,MID
2,4.5,MID
0,4.5,MID
1,4.5,MID
5,4.5,MID
0,4.5,MID
0,4.5,MID
0,4.5,MID
0,4.5,MID
2,4.5,MID
