,Team,Points,Cost
,Liverpool,89,6.2
,Man City,82,6
,Chelsea,69,5.4
,Leicester,119,5.4
,Man Utd,103,5.3
,Spurs,51,5.3
,Sheffield Utd,122,5.3
,Everton,84,5.2
,Wolves,116,5.2
,Newcastle,118,5.1
,Arsenal,108,5
,Crystal Palace,116,5
,Burnley,128,4.9
,Watford,111,4.9
,West Ham,59,4.9
,Chelsea,7,4.8
,Brighton,102,4.7
,Man City,11,4.7
,Man Utd,0,4.7
,Man Utd,0,4.6
,Norwich,91,4.6
,Liverpool,0,4.5
,Southampton,68,4.5
,Bournemouth,96,4.5
,Aston Villa,19,4.5
,Norwich,1,4.4
,West Ham,18,4.4
,Sheffield Utd,0,4.4
,Liverpool,0,4.4
,Aston Villa,3,4.3
,Aston Villa,59,4.3
,Newcastle,0,4.3
,Sheffield Utd,0,4.3
,Aston Villa,1,4.3
,Sheffield Utd,1,4.3
,Burnley,0,4.3
,Watford,0,4.3
,Bournemouth,0,4.2
,Bournemouth,0,4.2
,Bournemouth,1,4.2
,Burnley,0,4.2
,Crystal Palace,6,4.2
,Leicester,0,4.2
,Leicester,0,4.2
,Southampton,0,4.2
,Southampton,29,4.2
,Spurs,58,4.2
,Watford,0,4.2
,Wolves,0,4.2
,Arsenal,0,4.2
,Aston Villa,0,4.2
,Everton,0,4.2
,Liverpool,0,4.2
,Spurs,0,4.2
,Norwich,11,4.1
,Liverpool,27,4
,Spurs,0,4
,Southampton,0,4
,Norwich,0,4
,Crystal Palace,0,4
,Spurs,0,4
,Man City,0,4
,Newcastle,0,4
,West Ham,0,4
,West Ham,3,4
,Everton,0,4
,Brighton,0,3.9
,Everton,0,3.9
,Newcastle,0,3.9
,Wolves,0,3.9
,West Ham,20,3.9
,Liverpool,166,7.8
,Liverpool,137,7
,Liverpool,141,6.5
,Leicester,123,6.3
,Man City,22,6.3
,Wolves,117,6.3
,Chelsea,77,6.2
,Chelsea,43,6
,Chelsea,88,5.9
,Arsenal,79,5.7
,Everton,83,5.7
,Crystal Palace,87,5.6
,Man City,73,5.6
,Arsenal,25,5.5
,Leicester,94,5.5
,Man City,49,5.5
,Spurs,0,5.5
,Chelsea,18,5.4
,Man Utd,24,5.4
,Man Utd,46,5.4
,Wolves,74,5.4
,Man Utd,85,5.3
,Everton,73,5.3
,Everton,34,5.3
,Man Utd,89,5.3
,Leicester,108,5.3
,Liverpool,76,5.3
,Liverpool,17,5.3
,Everton,24,5.3
,Man City,24,5.3
,Man Utd,79,5.3
,Newcastle,30,5.3
,Spurs,10,5.3
,Spurs,66,5.3
,Newcastle,31,5.3
,Spurs,39,5.3
,Arsenal,5,5.3
,Arsenal,35,5.2
,Burnley,101,5.2
,Everton,55,5.2
,Liverpool,33,5.2
,Man City,31,5.2
,Man Utd,0,5.2
,Sheffield Utd,110,5.2
,Spurs,52,5.2
,Arsenal,26,5.1
,Sheffield Utd,115,5.1
,Wolves,83,5.1
,Chelsea,45,5.1
,Man City,25,5.1
,Arsenal,10,5
,Arsenal,0,5
,Bournemouth,46,5
,Burnley,87,5
,Crystal Palace,48,5
,Crystal Palace,7,5
,Man City,0,5
,Newcastle,53,5
,Everton,64,5
,Everton,11,4.9
,Leicester,103,4.9
,Man City,66,4.9
,Man Utd,7,4.9
,Man Utd,4,4.9
,Man Utd,0,4.9
,Sheffield Utd,128,4.9
,Spurs,85,4.9
,Arsenal,57,4.8
,Brighton,36,4.8
,Bournemouth,67,4.8
,Chelsea,22,4.8
,Man Utd,3,4.8
,Southampton,49,4.8
,Spurs,3,4.8
,Leicester,21,4.8
,Wolves,60,4.8
,Watford,37,4.8
,Arsenal,43,4.8
,Arsenal,7,4.8
,Brighton,90,4.7
,Man Utd,2,4.7
,Sheffield Utd,96,4.7
,Leicester,13,4.7
,Chelsea,42,4.7
,Newcastle,85,4.6
,Sheffield Utd,94,4.6
,Southampton,11,4.6
,Watford,16,4.6
,Wolves,73,4.6
,Sheffield Utd,90,4.6
,Man City,11,4.6
,Wolves,1,4.6
,Arsenal,36,4.5
,Arsenal,0,4.5
,Southampton,39,4.5
,West Ham,63,4.5
,West Ham,65,4.5
,Brighton,57,4.5
,Brighton,69,4.5
,Man City,11,4.5
,Sheffield Utd,0,4.5
,Arsenal,2,4.4
,Aston Villa,15,4.4
,Bournemouth,16,4.4
,Bournemouth,0,4.4
,Newcastle,23,4.4
,Newcastle,24,4.4
,Norwich,32,4.4
,Norwich,35,4.4
,Norwich,41,4.4
,Southampton,62,4.4
,Southampton,64,4.4
,Aston Villa,60,4.4
,Southampton,6,4.4
,West Ham,57,4.4
,Aston Villa,56,4.4
,Aston Villa,48,4.4
,Man Utd,7,4.4
,Crystal Palace,59,4.4
,Arsenal,0,4.3
,Brighton,60,4.3
,Brighton,18,4.3
,Brighton,0,4.3
,Brighton,0,4.3
,Bournemouth,26,4.3
,Bournemouth,39,4.3
,Burnley,48,4.3
,Burnley,55,4.3
,Burnley,1,4.3
,Crystal Palace,62,4.3
,Crystal Palace,37,4.3
,Newcastle,44,4.3
,Newcastle,42,4.3
,Newcastle,64,4.3
,Newcastle,49,4.3
,Norwich,0,4.3
,Norwich,58,4.3
,Watford,60,4.3
,Watford,48,4.3
,Watford,76,4.3
